h,Porosity,k,SQRT,Kuw/U,Sw,T,API,Pi,Pb,Pep,Pi/Pa,Uol,UbP,Uoa,Uw,Rsl,Rsb,Rsa,Bol,Bob,Boa,OoIP,OOIcalc,REC
173,0.167,880,72.59,1913.04,0.3,212,38.8,3510,3510,2000,1.76,0.46,0.46,0.54,0.457,1052,1052,680,1.593,1.593,1.424,569,569.31,304
36,0.11,602,73.98,957.73,0.2,150,47,2968,2138,2462,1.21,0.33,0,0,0.525,1180,0,0,1.707,0,0,380,399.944,209
195,0.021,363,132.42,562.65,0.24,210,50,5630,2485,1900,2.96,0.22,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,85,85.23,29
153,0.026,32,34.82,47.44,0.24,210,51,5709,2458,1900,3,0.23,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,108,108.699,31
35,0.057,22.8,20.04,3.51,0.244,142,35.9,4938,172,4900,1.01,3.33,2.19,3.3,0.512,30,30,30,1.04,1.04,1.04,320,320.322,127
15,0.183,67,19.13,8.75,0.203,204,26.3,5292,590,4000,1.32,3.04,2,2.75,0.397,173,0,0,1.125,0,0,883,1005.788,336
33,0.11,9,9.05,1..75,0.39,128,49.2,2075,885,1850,1.12,0.54,0.49,0.53,0.645,409,409,409,1.303,1.285,1.3,400,399.51,177
59,0.202,68,18.35,5.07,0.215,110,22.5,1520,750,700,2.17,9.1,8.2,8.1,0.687,162,162,144,1.082,1.088,1.083,1085,1136,398
84,0.13,6.3,6.96,0.28,0.12,117,22.2,1690,690,450,3.76,14,15.6,14.2,0.625,119,119,99,1.057,1.062,1.054,840,839.655,121
35,0.195,39,14.14,0.98,0.25,108,20.9,1520,800,700,2.17,27.5,24.5,25.5,0.693,138,138,122,1.074,1.077,1.072,1023,1056.432,174
119,0.135,5.9,6.61,0.05,0.109,120,18.6,1650,145,450,3.67,77,58,62,0.606,33,33,33,1.035,1.045,1.042,1302,901.615,102
68,0.052,8,12.4,10.38,0.24,170,45,4609,2400,2800,1.65,0.4,0.34,0.35,0.519,780,780,780,1.49,1.52,1.51,206,205.769,54
100,0.06,141,48.48,47.88,0.2,155,38,4625,525,4000,1.16,1.39,0.94,1.32,0.472,122,120,120,1.074,1.12,1.09,344,346.726,185
150,0.05,5,10,4.93,0.35,160,45,4295,1395,200,21.48,0.58,0.49,0.5,0.572,600,600,600,1.3,1.36,1.32,194,193.95,147
44,0.105,226,46.39,141.85,0.2,86,40,815,615,100,8.15,1.7,1.5,5,1.087,200,200,100,1.11,1.11,1.035,587,587.092,244
130,0.038,42,33.25,35.79,0.3,132,44,3485,1105,1300,2.68,0.67,0.56,0.58,0.571,600,600,600,1.325,1.355,1.352,155,155.746,102
0,0.025,100,63.25,67.16,0.1,150,43.9,4087,1460,1000,4.07,0.74,0.62,0.63,0.497,548,548,530,1.309,1.347,1.3,134,133.35,56
300,0.025,1000,200,817.57,0.1,124,43.9,3271,970,1000,3.27,0.74,0.6,0.61,0.605,590,610,590,1.325,1.34,1.3,132,131.74,53
40,0.06,41,26.14,34.52,0.2,187,45,5350,1140,100,53.5,0.43,0.38,0.87,0.362,667,667,667,1.411,1.478,1.4,264,263.915,106
20,0.025,20,28.28,12.4,0.15,216,46,6030,1554,4500,1.34,0.55,0.36,0.48,0.341,501,490,490,1.259,1.405,1.4,128,130.943,64
69,0.165,1100,81.65,1272.86,0.3,207,39,3106,3108,300,1.35,0.29,0.28,0.3,0.324,953,953,250,1.55,1.55,1.04,57,578.096,168
15,0.145,1.5,3.22,1.37,0.45,80,34,355,215,200,1.78,1.5,1,1.8,1.369,600,600,0,1.2,1.25,1.2,494,515.584,296
44,0.124,84,26.03,112.38,0.177,160,42.5,3410,1990,2600,1.31,0.37,0.33,0.34,0.495,906,906,906,1.499,1.522,1.512,528,528.165,228
200,0.02,18.6,30.5,14.27,0.3,160,47.8,4585,1258,2500,1.83,0.61,0.47,0.5,0.468,409,409,375,1.223,1.257,1.235,88,88.808,35
128,0.083,200,46.37,305.26,0.213,139,43.5,3162,2016,1521,2.08,0.38,0.33,0.37,0.58,1266,1266,985,1.76,1.72,1.64,397,322.623,215
250,0.058,8.9,12.39,8.05,0.22,124,44,3560,800,2400,1.48,0.95,0.8,0.89,0.648,335,335,335,1.157,1.19,1.171,250,303.347,59
187,0.036,13.8,19.58,13.65,0.33,139,43,4295,1492,1500,2.96,0.57,0.49,0.49,0.564,500,500,500,1.252,1.299,1.299,100,149.459,44
101,0.101,50,22.25,60.85,0.22,140,43.6,3650,2022,2500,1.46,0.41,0.37,0.39,0.499,989,898,989,1.547,1.581,1.564,394,395.071,203
280,0.018,50,52.7,37.71,0,132,42,4600,1573,2500,1.84,0.85,0.6,0.68,0.641,525,525,525,1.25,1.3,1.29,112,111.75,50
92,0.073,300,64.11,242,0.14,132,36,1875,1875,400,4.69,0.9,0.9,1.43,0.726,489,489,218,1.28,1.284,1.177,402,379.32,161
427,0.097,700,84.95,659.84,0.7,166,38,2205,2052,1900,1.16,0.61,0.6,0.62,0.575,695,695,658,1.409,1.412,1.395,520,496.699,382
173,0.167,880,72.59,1913.04,0.3,212,38.8,3510,3510,2000,1.76,0.46,0.46,0.54,0.457,1052,1052,680,1.593,1.593,1.424,569,569.31,304
36,0.11,602,73.98,957.73,0.2,150,47,2968,2138,2462,1.21,0.33,0,0,0.525,1180,0,0,1.707,0,0,380,399.944,209
195,0.021,363,132.42,562.65,0.24,210,50,5630,2485,1900,2.96,0.22,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,85,85.23,29
153,0.026,32,34.82,47.44,0.24,210,51,5709,2458,1900,3,0.23,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,108,108.699,31
35,0.057,22.8,20.04,3.51,0.244,142,35.9,4938,172,4900,1.01,3.33,2.19,3.3,0.512,30,30,30,1.04,1.04,1.04,320,320.322,127
15,0.183,67,19.13,8.75,0.203,204,26.3,5292,590,4000,1.32,3.04,2,2.75,0.397,173,0,0,1.125,0,0,883,1005.788,336
33,0.11,9,9.05,1..75,0.39,128,49.2,2075,885,1850,1.12,0.54,0.49,0.53,0.645,409,409,409,1.303,1.285,1.3,400,399.51,177
59,0.202,68,18.35,5.07,0.215,110,22.5,1520,750,700,2.17,9.1,8.2,8.1,0.687,162,162,144,1.082,1.088,1.083,1085,1136,398
84,0.13,6.3,6.96,0.28,0.12,117,22.2,1690,690,450,3.76,14,15.6,14.2,0.625,119,119,99,1.057,1.062,1.054,840,839.655,121
35,0.195,39,14.14,0.98,0.25,108,20.9,1520,800,700,2.17,27.5,24.5,25.5,0.693,138,138,122,1.074,1.077,1.072,1023,1056.432,174
119,0.135,5.9,6.61,0.05,0.109,120,18.6,1650,145,450,3.67,77,58,62,0.606,33,33,33,1.035,1.045,1.042,1302,901.615,102
68,0.052,8,12.4,10.38,0.24,170,45,4609,2400,2800,1.65,0.4,0.34,0.35,0.519,780,780,780,1.49,1.52,1.51,206,205.769,54
100,0.06,141,48.48,47.88,0.2,155,38,4625,525,4000,1.16,1.39,0.94,1.32,0.472,122,120,120,1.074,1.12,1.09,344,346.726,185
150,0.05,5,10,4.93,0.35,160,45,4295,1395,200,21.48,0.58,0.49,0.5,0.572,600,600,600,1.3,1.36,1.32,194,193.95,147
