h,POROSITY,K,k/uob,Sw,T,API,PI,Bp,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,Type,REC
103,0.15,2.2,6.875,0.35,139,47.3,4105,1283,768,1.67,0.36,0.32,0.39,0.662,1283,1283,768,1.735,47.3,1.492,436,1,100
4.7,0.083,4.2,4.078,0.3,105,41,1700,695,200,3.48,1.11,1.03,1.24,0.823,241,241,135,1.143,41,1.11,394,1,59
107,0.085,1.5,1.145,0.15,110,33,1805,1805,100,18.05,1.31,1.31,1.12,0.857,588,588,130,1.312,33,1.119,427,1,72
33,0.092,9.9,70.714,0.2,158,50,3447,3260,600,5.43,0.14,0.14,0.42,0.472,2383,2383,550,2.356,50,1.4,242,1,38
70,0.088,1,2.564,0.4,152,42,4482,2660,1350,1.97,0.46,0.39,0.51,0.529,1262,1262,710,1.678,42,1.46,245,1,35
124,0.038,4.5,32.143,0.18,194,52,5400,4400,1600,2.75,0.14,0.14,0.36,0.428,3539,3539,900,2.9,52,1.346,83,1,5
51,0.13,12.8,22.857,0.237,126,43,3515,1264,300,4.21,0.68,0.56,0.82,0.628,575,575,280,1.316,43,1.225,585,1,202
191,0.019,20.8,21.224,0.27,101,33.5,2020,2020,500,4.04,0.98,0.98,0.14,0.771,773,773,300,1.382,33.5,1.2,571,1,83
71,0.108,10.6,4.609,0.295,92,32,2100,265,200,1.33,2.74,2.3,0.235,0.868,169,169,151,1.092,32,1.099,541,1,42
8.4,0.189,379,526.389,0.254,203,43,2230,907,200,4.54,0.92,0.72,0.82,0.436,256,256,120,1.196,43,1.153,915,1,179
69,0.05,35,112.903,0.46,135,33.5,3000,2230,1500,1.49,0.31,0.31,0.37,0.639,663,663,502,1.46,33.5,1.35,180,1,45
46,0.095,3,7.5,0.228,108,32,2534,2370,300,7.9,0.38,0.4,1.5,0.786,1120,1120,300,1.549,32,1.23,305,1,56
124,0.056,30,136.364,0.25,145,43,4470,2534,1500,1.69,0.22,0.22,1.3,0.646,1530,1530,970,1.86,43,1.6,150,1,28
30,0.056,113,256.818,0.46,188,45,1700,4470,100,44.7,0.44,0.44,1.7,0.395,1621,1621,100,1.928,45,1.142,183,1,38
40,0.095,2.8,2.154,0.288,105,43,1400,1700,100,17,1.3,1.3,2.5,0.944,550,550,40,1.229,43,1.04,438,1,66
12,0.125,23.7,34.348,0.25,88,31,4062,1135,250,4.54,0.71,0.69,1.2,0.886,636,636,300,1.317,31,1.17,552,1,120
250,0.116,5.7,12.955,0.2,141,43,2600,2500,50,500,0.49,0.44,1.02,0.563,1355,1355,150,1.731,43,1.2,329,1,27
100,0.052,3.3,4.342,0.27,127,43.9,4567,1605,200,8.03,0.84,0.76,1.41,0.772,510,510,169,1.279,43.9,1.146,239,1,45
21,0.087,2.5,10,0.25,174,34.7,5668,3508,1000,3.51,0.22,0.25,0.9,0.42,1817,1817,300,2.015,34.7,1.25,170,1,28
287,0.025,4.8,24,0.366,214,45.5,4567,3385,1000,3.39,0.22,0.2,0.38,0.374,1880,1880,495,2.141,45.5,1.497,59,1,32
27,0.067,9.2,46,0.24,180,54,1800,3433,800,4.29,0.22,0.2,0.64,0.404,1815,1815,450,2.015,54,1.35,178,1,37
32,0.086,2.5,2.5,0.34,107,43.8,1805,1800,200,9,1,1,1.85,0.813,700,700,215,1.35,43.8,1.17,341,1,67
85,0.151,12,12.371,0.35,110,32,840,1805,300,6.02,0.97,0.97,1.38,0.792,588,588,200,1.312,32,1.138,632,1,106
50,0.106,94,18.8,0.33,102,33,3930,800,100,8,6,5,9,0.808,500,500,50,1.22,33,1.05,505,1,34
27,0.06,30,187.5,0.31,169,36,1850,3930,500,7.86,0.16,0.16,0.38,0.454,2239,2239,400,2.4,36,1.2,130,1,39
16,0.105,3.1,1.771,0.29,105,49,2411,520,300,1.73,1.9,1.75,3.5,0.812,400,400,100,1.16,49,1.05,442,1,79
57,0.053,16.9,35.957,0.25,110,35,2300,2411,200,12.06,0.47,0.47,1.5,0.742,1100,1100,200,1.776,35,1.1,157,1,24
80,0.072,3,6,0.33,108,42,3892,2300,200,11.5,0.5,0.5,1.5,0.719,1129,1129,200,1.6,42,1.15,253,1,35
20,0.098,64,126.667,0.37,135,41,2504,1927,350,5.51,0.62,0.51,0.96,0.55,896,896,300,1.477,41,1.15,360,1,54
10,0.18,30,115.385,0.318,140,40,3750,2207,900,2.45,0.48,0.28,0.3,0.528,836,836,600,1.5,40,1.5,727,1,86
27,0.111,1.12,1.69,0.276,225,38,3958,1391,500,2.78,1.2,0.71,1.5,0.446,433,433,150,1.286,38,1.25,270,1,62
94,0.042,2,1.818,0.3,235,37,2860,3000,2400,1.25,1.7,1.1,1,0.408,1180,1180,500,1.738,37,1.6,110,1,26
63,0.074,2,28.947,0.22,150,42,180,2860,500,5.72,0.19,0.19,0.45,0.579,1450,1450,210,1.9,42,1.25,230,1,31
29,0.087,5.5,1.818,0.586,112,46.4,1432,1800,300,6,1.03,1.03,1.96,0.771,587,587,196,1.31,46.4,1.153,371,1,40
77,0.12,150,28.947,0.11,72,32,2930,1432,365,3.92,0.95,0.95,1.45,1.196,615,615,300,1.281,32,1.15,657,1,189
15,0.152,5.7,1.65,0.553,170,40.7,950,1408,200,7.04,1.18,1.02,1.57,0.592,386,386,118,1.23,40.7,1.15,426,1,67
11,0.188,113,157.895,0.2,151,43.7,2860,2694,50,53.88,1.16,0.81,1.69,0.606,400,400,20,1.185,43.7,1.085,957,1,83
72,0.067,5.8,5.588,0.25,150,26,2348,2860,300,9.53,0.24,0.24,0.48,0.583,1702,1702,310,1.98,26,1.2,198,1,0
39,0.072,4.4,139.508,0.21,148,35,2534,2077,450,4.62,0.36,0.36,0.54,0.607,1005,1005,380,1.589,35,1.3,278,1,40
90,0.08,8.5,24.167,0.216,145,38,25,2534,446,5.68,0.24,0.24,0.52,0.601,1315,1315,410,1.65,38,1.24,296,1,0
155,0.085,2.5,12.571,0.2,80,28,24,814,30,27.13,22,11,28,0.95,165,165,11,1.138,28,1.02,411,1,80
