h,POROSITY,K,k/uob,Sw,T,API,PI,Bo,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,OO/Pcsic,REC
8.0,0.203,42.30,56.40,0.308,85.0,43.5,630.0,600.0,50.0,12.00,0.75,0.75,1.25,0.988,407.0,407.0,100.0,1.243,1.243,1.060,839,876.76,150
10.0,0.200,59.00,28.23,0.441,92.0,34.0,1513.0,1513.0,100.0,15.13,2.09,2.09,4.90,0.992,375.0,375.0,67.0,1.180,1.180,1.063,735,735.04,147
17.9,0.126,45.00,68.18,0.150,134.0,40.0,3050.0,2050.0,386.0,7.90,0.66,0.66,1.18,0.528,790.0,790.0,168.0,1.643,1.643,1.210,535,505.71,79
8.0,0.285,312.00,1040.00,0.280,205.0,40.0,3630.0,3490.0,315.0,11.08,0.30,0.30,0.76,0.299,830.0,815.0,98.0,1.464,1.425,1.142,1107,1117.15,330
13.0,0.195,166.00,212.82,0.300,178.0,38.6,1300.0,715.0,120.0,5.96,0.81,0.81,1.00,0.367,235.0,235.0,150.0,1.178,1.185,1.127,922,916.56,138
10.0,0.131,328.00,404.94,0.207,188.0,36.6,1334.0,7770.0,100.0,7.70,0.87,0.87,1.20,0.341,220.0,220.0,78.0,1.178,1.184,1.138,1018,1013.22,211
10.2,0.198,1.70,4.15,0.351,133.0,44.0,2000.0,1986.0,300.0,6.62,0.40,0.40,0.87,0.611,830.0,830.0,289.0,1.498,1.498,1.251,440,440.31,58
14.0,0.316,58.00,98.31,0.390,84.0,48.5,1140.0,1100.0,200.0,5.50,0.59,0.59,0.98,0.012,474.0,474.0,162.0,1.235,1.235,1.110,758,758.71,144
45.0,0.214,950.00,2021.28,0.260,188.0,34.0,4850.0,4225.0,1700.0,2.49,0.49,0.49,0.82,0.332,752.0,752.0,396.0,1.388,1.397,1.212,1287,1298.59,190
300.0,0.350,83.40,92.67,0.370,185.0,33.0,2600.0,2600.0,150.0,17.33,0.90,0.90,2.40,0.355,550.0,550.0,30.0,1.300,1.300,1.070,798,804.56,174
426.0,0.140,752.00,10.03,0.200,100.0,18.7,570.0,570.0,25.0,22.80,75.00,75.00,150.00,0.785,90.0,90.0,5.0,1.050,1.050,1.010,2067,2068.80,452
378.0,0.138,600.00,10.00,0.210,120.0,22.2,550.0,550.0,25.0,22.00,35.00,60.00,60.00,0.636,80.0,80.0,5.0,1.050,1.050,1.010,1830,1832.81,644
245.0,0.265,8.70,32.22,0.350,255.0,29.0,4350.0,4208.0,1000.0,4.21,0.27,0.27,0.62,0.224,965.0,805.0,160.0,1.790,1.760,1.320,440,395.39,55
360.0,0.300,1077.00,179.50,0.305,160.0,22.0,1750.0,1750.0,100.0,17.50,6.00,6.00,16.00,0.434,250.0,250.0,10.0,1.150,1.150,1.030,1215,1242.46,563
71.0,0.190,388.00,16.87,0.420,127.0,20.3,950.0,950.0,100.0,9.50,23.00,23.00,45.00,0.571,140.0,140.0,20.0,1.080,1.080,1.030,1250,1242.96,274
40.0,0.115,70.00,205.88,0.330,225.0,37.0,3525.0,3525.0,600.0,5.88,0.34,0.34,0.70,0.277,660.0,860.0,160.0,1.510,1.510,1.160,606,619.61,120
103.0,0.330,40.00,90.91,0.200,205.0,30.0,4000.0,3550.0,1000.0,3.55,0.53,0.53,0.90,0.316,750.0,750.0,225.0,1.460,1.500,1.220,489,475.82,98
130.0,0.280,1300.00,213.82,0.225,132.0,18.9,1230.0,1065.0,100.0,10.55,6.20,6.20,10.50,0.538,129.0,128.0,15.0,1.076,1.077,1.040,1937,1842.25,287
15.0,0.237,2970.00,1060.71,0.213,138.0,34.0,1308.0,168.0,75.0,2.24,2.90,2.90,2.60,0.588,52.0,52.0,22.0,1.045,1.072,1.020,1637,1594.73,297
8.0,0.263,726.00,14.82,0.300,155.0,19.0,1690.0,700.0,75.0,9.33,57.00,49.00,90.00,0.472,75.0,75.0,10.0,1.080,1.090,1.020,1192,1180.78,314
10.8,0.121,390.00,4.88,0.310,160.0,16.0,1900.0,500.0,75.0,6.67,92.00,80.00,125.00,0.452,75.0,75.0,13.0,1.080,1.070,1.035,1328,1315.74,224
30.0,0.136,229.00,1347.06,0.000,199.0,46.0,4617.0,4500.0,500.0,9.18,0.16,0.17,0.58,0.413,2180.0,2170.0,250.0,2.150,2.135,1.200,398,439.68,102
