h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
34.0000,0.1720,289.0000,40.9900,284.5500,0.1650,143.0000,31.6000,2715.0000,1100.0000,2500.0000,1.0900,3.2500,2.8000,3.2000,0.6450,254.0000,254.0000,254.0000,1.2560,1.2290,1.2530,896.0000,272.0000,887.1050
6.0000,0.2690,243.0000,30.0600,322.2400,0.3000,210.0000,41.0000,3720.0000,3690.0000,1485.0000,2.5100,0.4600,0.4700,0.6100,0.3160,842.0000,842.0000,304.0000,1.4570,1.4530,1.1920,1007.0000,277.0000,1002.6300
23.0000,0.1310,76.4000,24.1500,67.4500,0.2300,252.0000,35.8000,2774.0000,262.0000,1600.0000,1.7300,1.2800,1.0200,1.1300,0.2390,0.0000,60.0000,0.0000,1.1110,1.1370,1.1230,715.0000,214.0000,704.3650
6.0000,0.1680,200.0000,32.6200,160.7000,0.3500,117.0000,33.6000,1400.0000,80.0000,730.0000,1.9200,4.3000,4.0000,4.1000,0.6280,10.0000,10.0000,0.0000,1.0200,0.0000,0.0000,955.0000,508.0000,929.4390
12.0000,0.2500,2000.0000,28.2800,189.1900,0.3000,182.0000,38.0000,4280.0000,3180.0000,3900.0000,1.1000,0.7400,0.5800,0.7000,0.4390,719.0000,719.0000,719.0000,1.2800,1.3700,1.3000,998.0000,550.0000,1060.6640
47.0000,0.3210,200.0000,24.9600,208.4500,0.2500,144.0000,20.6000,1799.0000,1739.0000,1500.0000,1.1800,6.2000,6.2000,6.4000,0.6090,193.0000,193.0000,178.0000,1.1010,1.2500,1.1000,1800.0000,1171.0000,1896.4020
59.0000,0.2800,1860.0000,81.5000,1981.1200,0.2800,191.0000,21.0000,4950.0000,3280.0000,3000.0000,1.6500,2.1500,2.1100,2.2900,0.3570,472.0000,472.0000,387.0000,1.2260,1.2260,1.5890,1251.0000,546.0000,1275.7040
25.0000,0.3000,1000.0000,57.7400,1309.5200,0.2000,180.0000,35.0000,4335.0000,4395.0000,3630.0000,1.1300,0.4200,0.4200,0.5500,0.4480,940.0000,940.0000,884.0000,1.4800,1.4800,1.5000,1275.0000,1050.0000,1275.2880
16.0000,0.2700,144.0000,23.0900,155.3700,0.2300,172.0000,25.0000,3754.0000,3754.0000,3400.0000,1.1000,1.1400,1.1400,1.2300,0.4650,565.0000,565.0000,504.0000,1.2620,1.2620,1.2430,1278.0000,1100.0000,1278.0410
60.0000,0.3000,25.8000,9.2700,34.0800,0.2500,178.0000,31.3000,4002.0000,4092.0000,2900.0000,1.4100,0.8100,0.8100,1.0700,0.4090,844.0000,844.0000,448.0000,1.2050,1.2050,1.2220,1348.0000,723.0000,1347.1930
58.0000,0.2820,250.0000,29.7700,365.0800,0.1780,210.0000,32.5000,4610.0000,4010.0000,2500.0000,1.8400,0.8300,0.8300,0.9200,0.3420,760.0000,760.0000,418.0000,1.1490,1.1490,1.2340,1289.0000,866.0000,1293.1930
48.0000,0.2300,2150.0000,96.7700,2128.5000,0.1000,169.0000,27.0000,3529.0000,3048.0000,3350.0000,1.0500,2.0000,1.9400,1.9800,0.5040,418.0000,418.0000,418.0000,1.3600,1.3600,1.2070,1333.0000,750.0000,1332.7020
16.0000,0.3090,210.0000,26.0700,273.0000,0.3000,134.0000,30.0000,1538.0000,1538.0000,10000.0000,1.5400,1.0000,1.0000,1.3000,0.6070,300.0000,300.0000,150.0000,1.6000,1.6000,1.0870,1459.0000,30.0000,941.2280
6.0000,0.3000,100.0000,16.2600,109.0000,0.4500,188.0000,36.0000,4282.0000,3500.0000,3000.0000,1.4200,0.5500,0.5000,0.6000,0.4020,750.0000,750.0000,640.0000,1.3600,1.3600,1.3300,909.0000,750.0000,941228.0000
18.0000,0.2500,200.0000,26.2600,210.0000,0.2500,192.0000,37.0000,4385.0000,4250.0000,4000.0000,1.0900,0.4000,0.4000,0.4200,0.3970,900.0000,900.0000,850.0000,1.6000,1.6000,1.5000,900.0000,718.0000,909.1410
28.0000,0.2800,400.0000,37.6000,372.0000,0.3000,200.0000,38.5000,4815.0000,3850.0000,3800.0000,1.2100,0.4300,0.4000,0.4000,0.3700,755.0000,755.0000,755.0000,1.3800,1.3800,1.3900,1100.0000,540.0000,1101.8610
24.0000,0.3000,200.0000,25.6200,200.0000,0.4000,220.0000,28.0000,10920.0000,7500.0000,10000.0000,1.0900,0.7000,0.4000,0.7000,0.3420,1200.0000,1200.0000,1200.0000,1.5100,1.5100,1.5200,924.0000,488.0000,924.7950
22.0000,0.2500,50.0000,14.1400,50.0000,0.5000,260.0000,25.5000,12800.0000,9920.0000,99999.0000,1.2800,0.4000,0.3000,0.4000,0.2870,1470.0000,1470.0000,1470.0000,1.5900,1.5900,1.6000,610.0000,342.0000,1101.8610
25.0000,0.1390,169.7000,34.9400,148.4900,0.3840,251.0000,48.0000,5680.0000,5075.0000,5350.0000,1.0600,0.0800,0.0700,0.0700,0.3590,2719.8000,2719.8000,2719.0000,2.6150,2.6150,2.6270,242.0000,158.0000,254.0230
82.0000,0.3240,1668.0000,71.7500,2502.0000,0.3700,178.0000,33.0000,2891.0000,2497.0000,1950.0000,1.3800,0.8000,0.8000,1.2000,0.4550,518.0000,518.0000,462.0000,1.2870,1.2870,1.3000,1250.0000,472.0000,1249.8520
12.0000,0.2900,2000.0000,830.5000,2344.8300,0.2900,190.0000,38.0000,3850.0000,2884.0000,1800.0000,2.0300,0.5800,0.4200,0.6800,0.4620,6280.0000,6280.0000,592.0000,1.3850,1.3850,1.3000,1153.0000,779.0000,1153.3370
71.0000,0.2000,370.0000,43.0100,303.5900,0.2240,252.0000,38.0000,5000.0000,3100.0000,2000.0000,2.5000,0.3900,0.2400,0.3200,0.2370,894.0000,894.0000,0.0000,1.5200,1.5200,1.3800,1300.0000,268.0000,792.1330
151.0000,0.2280,250.0000,33.1100,372.8800,0.1700,190.0000,35.0000,2450.0000,2480.0000,750.0000,3.2700,0.5900,0.5800,0.8800,0.3490,670.0000,670.0000,215.0000,1.4400,1.4400,1.1500,1035.0000,510.0000,1019.5310
112.0000,0.1540,66.0000,20.7000,135.7400,0.4000,230.0000,30.0000,4080.0000,4015.0000,1000.0000,4.0800,0.5300,0.5300,1.0900,0.2570,735.0000,735.0000,160.0000,1.4130,1.4130,1.1280,508.0000,189.0000,507.3170
16.0000,0.3100,474.0000,39.1000,484.3800,0.3300,180.0000,35.8000,2890.0000,887.0000,800.0000,4.4800,1.3700,1.3500,1.4000,0.3570,210.0000,210.0000,145.0000,1.1500,1.1500,1.1500,1401.0000,475.0000,1401.1820
98.0000,0.3200,300.0000,30.6200,342.6600,0.3000,206.0000,38.6000,4915.0000,4860.0000,4200.0000,1.1700,0.2800,0.2600,0.3200,0.3690,1194.0000,1194.0000,1080.0000,1.6230,1.6230,1.5300,1071.0000,493.0000,1070.7280
27.0000,0.2000,190.0000,30.8200,197.6000,0.2600,165.0000,39.3000,3283.0000,2800.0000,2350.0000,1.3900,0.5000,1.4800,0.5200,0.5190,701.0000,701.0000,566.0000,1.3500,1.3500,1.3000,828.0000,530.0000,827.5200
